;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
352054,35,2054,626650,1552012,2.48,1373953,116313,60981,70857,85622,229184,207497,115620,345117,580,3183,73848,65151,Salt Lake County
352055,35,2055,632475,1563605,2.47,1382192,116735,61089,70617,85444,232995,208738,116172,347117,574,3144,73837,65730,Salt Lake County
352056,35,2056,638039,1574802,2.47,1390209,117139,61187,70366,85253,236765,209945,116705,349064,567,3105,73817,66296,Salt Lake County
352057,35,2057,643435,1585584,2.46,1397997,117524,61277,70105,85049,240490,211118,117221,350951,562,3065,73785,66850,Salt Lake County
352058,35,2058,648843,1595985,2.46,1405550,117889,61357,69835,84832,244170,212256,117715,352780,555,3026,73742,67393,Salt Lake County
352059,35,2059,654278,1606035,2.45,1412864,118238,61427,69553,84603,247800,213358,118191,354550,549,2985,73687,67923,Salt Lake County
352060,35,2060,659873,1615746,2.45,1419932,118566,61486,69262,84362,251381,214422,118646,356258,542,2945,73621,68441,Salt Lake County
491990,49,1990,70748,256002,3.62,122949,15055,5952,15562,4923,11148,26467,8176,21044,2413,187,6453,5569,Utah County
491991,49,1991,73736,266544,3.61,130553,15917,6315,16104,5163,12268,27405,8725,22802,2440,188,7299,5927,Utah County
491992,49,1992,76725,277086,3.61,138157,16781,6679,16647,5402,13390,28342,9273,24562,2469,190,8147,6275,Utah County
